Tropical and subtropical moist broadleaf forests,Tropical and subtropical dry broadleaf forests,Tropical and subtropical coniferous forests,Temperate broadleaf and mixed forests,Temperate coniferous forests,Boreal forests/taiga,"Tropical and subtropical grasslands, savannas, and shrublands","Temperate grasslands, savannas, and shrublands",Flooded grasslands and savannas,Montane grasslands and shrublands,Tundra,"Mediterranean forests, woodlands, and shrub",Deserts and xeric shrublands,Mangrove,Lake,Rock and Ice
354028,928,0,0,0,0,29986,0,0,0,0,0,0,614,0,0
38486,0,0,0,0,0,17952,0,11,0,0,0,0,142,0,0
237,0,0,0,0,0,462,0,0,0,0,0,0,0,0,0
6485,0,0,0,0,0,55778,0,0,0,0,0,0,0,0,0
0,0,0,0,11980,0,0,5511,0,0,0,10809,12493,0,0,0
0,11,0,0,0,0,0,0,0,0,0,0,0,13,0,0
6259,11926,0,0,0,0,0,0,0,0,0,0,0,95,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,74534,0,997,0,0,0,51934,0,451,0
61660,0,0,34315,20017,0,0,0,0,15281,0,0,0,0,0,0
3365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10704,12828,33,0,45905,141,13040,0,0,37679,0,0,0
0,0,0,57206,4763,0,0,7966,9018,0,0,0,0,0,0,0
0,0,0,68986,1335,0,0,4191,1148,17679,0,0,17834,0,0,0
0,0,0,0,843,0,0,0,0,55900,0,0,16830,0,0,0
87295,0,0,54726,0,0,0,0,525,0,0,0,0,0,0,0
0,0,0,1,9518,0,0,0,0,100054,0,0,0,0,0,4148
0,0,0,5460,2990,0,0,5615,0,46335,0,0,101440,0,0,1493
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8016,0,0,0,0,0,1330,0,9270,0,0,0,0
85907,7890,0,0,0,0,15370,0,0,1548,0,0,2751,685,0,0
0,0,0,0,0,0,0,0,0,9815,0,5539,10666,0,0,0
0,0,0,23924,0,0,0,2820,0,0,0,0,0,0,0,1594
24407,0,0,0,0,0,21639,0,53,0,0,0,0,252,396,0
0,0,0,1282,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0
0,0,0,0,9703,0,0,11452,0,0,0,0,5899,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23361,0,0,0,0,0,11266,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,852,0,0,0,0
4364,598,0,0,0,0,0,0,0,0,0,0,0,104,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1022,0,0,0,0,0,0,0,0,10237,0,9519,45497,17,0,0
0,0,0,0,0,0,1685,0,335,0,0,0,0,0,0,0
86,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
0,0,0,0,1600,28148,0,10194,0,0,3165,0,0,0,0,0
0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0
2119,6552,639,0,0,0,0,0,566,0,0,0,308,635,0,0
0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0
0,0,0,10853,1903,0,0,0,0,0,0,0,0,0,0,0
0,0,0,108,392,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3946,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2146,0,0,0
2864,950,835,0,0,0,0,0,46,0,0,0,0,113,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,496,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19998,2442,0,0,0,0,0,0,290,1597,0,0,0,483,0,0
0,0,0,0,0,0,0,0,7122,0,0,353,85453,0,0,0
1051,0,267,6689,2689,0,67,0,0,2002,0,0,0,0,0,508
103,831,1077,0,0,0,0,0,0,0,0,0,0,55,0,0
2419,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
1572,0,0,0,0,0,5566,0,0,724,0,0,4213,0,0,0
22871,0,0,0,0,0,57657,0,77,26327,0,0,6494,0,49,0
0,0,0,0,0,0,0,1059,0,0,0,0,0,0,0,0
1074,679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,385,0,32440,0,0,0,0,378,0,0,0,0,0
195,0,0,0,12306,0,0,0,1983,0,0,0,0,0,0,0
0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0
0,0,0,46223,1782,0,0,0,0,0,0,5770,0,0,0,0
8170,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0
21176,0,0,0,0,0,4530,0,0,0,0,0,0,485,0,0
0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,0
0,0,0,0,0,0,972,0,0,0,0,0,0,95,0,0
0,0,0,8025,7206,0,0,0,0,0,0,0,0,0,0,0
0,0,0,35211,345,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7965,0,0,0,0,0,15872,0,0,0,0,0,0,172,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2475,0,0,0,0,0,0,863,0,0
0,0,0,0,0,0,0,0,0,0,46755,0,0,0,0,167154
0,0,0,20404,2163,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1259,0,0,0,0,0,0,0,10207,0,0,0,0
0,0,0,0,0,0,0,10,0,0,0,0,8180,0,0,0
6881,753,2949,0,0,0,0,0,0,0,0,0,234,138,0,0
4774,0,0,0,0,0,19560,0,0,0,0,0,0,285,0,0
19758,0,0,0,0,0,1355,0,0,0,0,0,0,70,0,0
1702,574,327,0,0,0,0,0,17,0,0,0,0,55,0,0
671,637,0,0,0,0,314,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
3921,1912,5097,0,0,0,0,0,0,0,0,0,0,265,0,0
0,0,0,9294,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,9049,0,0,0,0,0,0,0,0,0,1046
0,0,0,0,10889,0,0,717,0,0,0,0,10039,0,0,0
0,0,0,2277,0,0,0,12355,0,0,0,0,0,0,405,0
92989,96687,75,77,2,0,778,0,2432,0,0,0,73546,1266,0,0
0,0,0,8360,0,0,0,1069,0,0,0,0,0,0,60,0
0,0,0,729,0,0,0,13808,0,0,0,0,0,0,0,0
0,0,0,8212,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2940,66013,0,2908,0,1438,2494,0,0,0,1369,0
0,0,0,40334,6341,0,0,6442,727,14906,0,0,93526,0,448,0
0,0,0,3044,0,0,0,3798,2841,0,0,122,33941,0,0,0
0,0,0,5903,5248,0,0,0,0,0,0,13793,0,0,0,0
14923,0,0,0,0,0,17355,0,0,0,0,0,0,44,0,0
823,227,0,0,0,0,0,0,0,0,0,0,0,37,0,0
201,0,0,30716,5719,0,0,0,0,0,0,0,0,0,0,0
12976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,15202,0,0,0,0,30400,0,0,0,0,0
0,0,0,0,0,0,0,21229,0,0,0,0,0,0,0,0
0,0,0,0,1464,0,0,109517,0,4142,0,0,153277,0,3752,0
0,0,0,0,0,0,0,0,0,0,674,0,0,0,0,0
7659,0,0,0,0,0,39717,0,16,174,0,0,9618,255,1106,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1018,0,0,9746,0,8167,0,0,378,0,627,38
0,0,0,10107,0,62122,0,0,2535,0,7025,0,0,0,0,0
0,0,0,21757,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,950,6999,129853,0,9218,0,964,88562,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,808,0,0,0,0
0,0,0,755,0,0,0,1772,0,0,0,0,0,0,0,0
0,0,0,10432,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,415,0,448,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1671,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,26522,0,0,0,0,1807,0,0,0,0,0
18955,4160,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9495,0,0,0,0,0,12,0,0,0,0,0,0,132,0,0
0,0,0,0,0,0,0,8188,0,0,0,6210,5439,0,0,0
0,0,0,0,0,0,0,0,221,0,0,6381,155719,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,14,0,0,0,0,0,0,0,0,0,0,151,37,0,0
0,0,0,0,0,0,0,0,0,3064,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4176,5053,0,2570,0,0,0,0,0,0,0,0,0
1946,8075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,41565,0,0,0,0,74713,0,0,0,0,0
0,0,0,8327,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,1469,0,49181,0,10934,0,0,138,0,0,0,3139,0
0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
0,0,0,1902,158,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31194,15131,0,0,0,0,0,0,0,128,0,0,12289,496,0,0
0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15023,0,0,0,24,0,0,0,0,0,0,10032,0
0,0,0,13808,0,0,0,8032,0,0,0,0,0,0,651,0
0,0,0,0,0,0,68710,0,4613,0,0,0,52594,0,0,0
7,0,0,0,0,0,7169,0,460,2076,0,0,0,0,2213,0
13143,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0
0,0,0,0,9878,0,0,28089,0,0,0,0,115,0,0,0
5724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,13163,3802,0,60529,0,8387,0,0,70353,0,0,0
0,0,0,0,1097,0,0,0,0,635,0,30628,8035,0,0,0
14406,0,0,0,0,0,59855,0,2943,227,0,0,0,705,695,0
0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1617,835,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10071,2346,0,8,0,0,0,0,0,0,0,0,0
0,0,0,8082,0,0,0,9987,0,0,0,0,0,0,0,0
0,0,0,0,0,0,37607,0,559,0,0,0,66142,0,0,0
542,1491,3058,0,0,0,0,0,0,0,0,0,1572,0,0,0
4448,2808,23640,0,0,0,357,0,0,0,0,0,55910,59,0,0
5802,663,243,0,0,0,0,0,0,0,0,0,25,373,0,0
0,21,0,0,0,0,0,0,0,0,0,28,0,0,0,0
0,9795,3674,0,401,0,0,0,0,0,0,1154,22647,405,0,0
2182,15684,14080,0,0,0,0,0,0,0,0,0,816,280,0,0
13991,6812,1603,0,0,0,0,0,0,0,0,0,0,1245,0,0
59684,3518,19,1096,469,0,0,0,0,542,0,0,0,1548,0,0
0,0,0,0,0,0,22615,0,725,0,0,0,57453,0,0,0
1960,0,0,0,0,0,8,0,0,7261,0,0,0,71,0,0
0,0,0,6458,0,741,0,0,0,0,0,0,0,0,0,0
0,0,0,7203,5506,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8020,0,0,0,17114,0,0,0,0,165,0,24,0
0,0,0,0,0,0,0,18244,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,20032,0,0,0,0,0,0,0,0
2877,0,2288,2020,1704,0,2275,0,0,2954,0,0,0,0,0,657
0,0,0,3497,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,643,0,0,0,0,0,0,0,28062,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10730,0,0,0,0,0,0,0,0,0,0
12723,0,0,0,0,0,74780,0,529,1337,0,0,0,1639,395,0
0,0,0,0,0,0,55378,0,309,0,0,0,63077,0,89,0
6903,2442,2243,0,0,0,0,0,0,0,0,0,0,409,803,0
0,0,0,0,0,0,0,0,0,0,0,0,40,27,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,904,1523,9673,0,0,0,0,18548,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5143,0,230,0,0,0,0,0,0,0,0,0,0
0,0,0,28806,0,0,5,35478,0,467,0,8471,7368,0,0,0
0,0,0,0,0,0,63670,0,0,0,0,0,71484,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,10345,0,0,0,0,180684,0,0,0,0,11088
1424,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74567,0,0,0,0,0,2661,0,0,1561,0,0,0,2366,0,0
0,0,0,2415,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1379,563,0,0,0,0,0,0,0,0,0,0,0
0,0,53,0,7217,0,0,6760,0,0,0,0,17559,0,0,0
0,0,0,0,0,80817,0,0,0,0,46747,0,0,0,6125,0
0,0,0,12400,129,0,0,0,0,0,0,0,0,0,1145,0
0,0,0,11309,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5647,0,0,0,5338,0,4002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9610,0,0,3437,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,10709,0,0,0,0,0,0,0,0,0,0,944,0
0,0,0,2148,83,0,0,15923,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2551,0,0,0,0,28432,0,0,0
0,0,0,29059,0,69556,0,0,0,0,0,0,0,0,8800,0
0,0,0,1395,14911,0,0,1267,0,0,0,0,7546,0,0,0
0,0,882,257,2358,0,0,0,327,4686,0,0,70730,292,0,145
0,0,0,0,0,0,0,1159,0,0,0,2202,8282,0,0,0
6522,508,0,0,0,0,0,0,0,0,0,0,0,320,0,0
8644,0,0,0,0,0,31177,0,246,0,0,0,0,0,0,0
0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,11742,0,0,0,0,0,0,0,0,0,0,200,0
88047,4952,0,0,0,0,0,0,0,17856,0,0,18284,32,504,0
28155,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,29162,1925,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1489,0,0,0,0,0,0,0,7319,0,0,0,0
0,0,0,12986,0,1467,0,0,1842,0,0,0,0,0,0,0
745,124,0,0,0,0,0,0,0,0,0,0,0,22,0,0
3201,0,0,7881,0,0,117410,20159,0,0,0,0,24713,0,0,0
0,0,0,23557,0,106948,0,0,0,0,20093,0,0,0,1,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15934,5344,0,0,2429,0,0,0,0,0,0,0,0
0,0,0,67328,0,14845,0,2920,0,0,0,0,0,0,0,0
0,0,0,28563,0,28170,0,16664,0,0,0,0,0,0,0,0
0,0,0,12,0,106600,0,0,0,0,26628,0,0,0,1811,0
0,0,0,1727,0,0,0,33453,0,0,0,0,8434,0,43,0
0,0,0,8845,0,9619,0,0,0,0,0,0,0,0,941,0
1114,0,0,0,0,0,1355,0,0,62,0,0,0,0,0,0
0,0,0,685,0,6536,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2369,0,0,0,0
0,0,0,0,0,34490,0,29435,0,0,0,0,0,0,1132,0
0,0,0,0,0,0,0,0,0,0,0,0,196229,0,0,0
0,0,0,3300,4733,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,486,0,0,19388,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,19554,0,0,0,0,0,0,138,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2552,0,0,0,0
4693,0,0,0,0,0,1887,0,0,0,0,0,0,672,0,0
0,0,0,0,0,0,0,0,32,0,0,0,5623,0,0,0
0,0,0,0,0,0,0,0,0,0,0,15383,83039,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0
3474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3053,0,0,0,0,0,48813,0,0,0,0,0,12002,39,0,0
0,0,0,7508,0,0,0,0,0,0,0,41801,0,0,0,0
1566,4814,0,0,0,0,0,0,0,0,0,0,216,0,0,0
0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
755,0,0,0,0,0,159636,0,17934,59,0,0,73286,0,0,0
18251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45561,0,277,0,0,0,0,0,0,0,0,0,0,1080,0,0
14109,0,0,0,0,0,61,0,0,0,0,0,0,418,0,0
0,0,0,0,0,0,0,0,0,0,6180,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12648,0,25924,0,0,0,0,5016,0,0,0,572,0
0,0,0,1778,2371,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,702,0,0,721,0,0,0,0,0,0
3588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10935,0,0,0,0,0,72743,0,3447,2170,0,0,0,470,4891,0
0,0,0,6691,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,0,0,0,0,16,0,0
0,0,0,10261,0,0,0,2478,0,0,0,0,5758,0,72,0
0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
0,0,0,10917,0,0,0,0,0,0,0,0,0,0,0,0
0,0,387,5275,5926,0,4802,36914,0,0,0,0,15277,0,0,0
27583,22705,0,0,0,0,0,0,0,0,0,0,0,1109,0,0
0,0,0,0,0,0,0,373,0,3392,0,0,43391,0,81,0
624,0,0,0,0,0,5123,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,24,0,0,0,0,0,0,0,0,0,0,0,16,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2064,0,0,0,0,0,0,0,295,0,0,0,0
0,0,0,0,262,0,0,0,1076,0,0,7893,6313,0,0,0
0,0,0,28450,10152,0,0,10553,0,0,0,26415,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9743,0,0,3617,0,1362,0,0,2221,0,0,0
0,0,0,0,0,0,16957,0,0,11182,0,0,5578,0,0,0
0,0,0,0,0,0,0,6591,0,6517,0,0,391,0,0,761
2421,0,0,0,0,0,18592,0,0,160,0,0,0,0,3196,0
0,0,0,34062,3354,0,0,23046,0,0,0,0,0,0,0,0
0,0,0,0,0,0,17802,4,0,0,0,0,0,0,0,0
0,0,0,0,3993,0,0,0,0,0,0,0,18012,0,0,0
0,0,0,0,0,0,0,10872,0,73,0,0,31910,0,1845,0
1201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47391,9130,0,0,0,0,23765,0,595,312,0,0,9256,994,0,0
0,0,0,2470,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,12715,0,0,0,2105,0,735,0,7131,0,0,0,0
21774,9157,0,0,0,0,0,0,0,0,0,0,0,1643,0,0
0,0,0,0,0,0,0,0,0,0,0,0,83,41,0,0
0,0,0,9385,902,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,93,10984,0,0,2721,0,0,0,0,3462,0,0,0
0,0,0,0,0,0,32624,0,0,0,0,49240,171277,0,0,0
0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
475,0,4125,4782,1122,0,317,0,0,14795,0,0,813,0,0,3023
201,44,0,0,0,0,0,0,0,0,0,0,84,17,0,0
0,0,0,14436,0,0,0,126,0,0,0,0,0,0,2411,0
0,0,0,0,0,0,0,0,36,0,0,200,26728,0,0,0
0,0,0,21060,4526,149682,0,34543,0,0,44344,0,0,0,0,0
0,0,0,6263,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,6371,0,0,7564,0,0,0,0,11516,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,220201,0,0,0,0,84743,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,42198,0,0,0
0,0,0,22121,381,0,0,0,0,0,0,2942,0,0,0,0
0,0,0,0,0,19474,0,0,0,0,28823,0,0,0,0,0
114265,0,0,0,0,0,117881,0,239,72,0,0,0,45,1719,0
0,3519,0,0,0,0,63619,0,8158,131,0,0,0,0,214,0
0,0,0,0,0,0,38500,0,0,692,0,0,0,0,0,0
