HigherGroups,APG IV Order,APG IV Family,IUCN Family
Asterids,Cornales,Nyssaceae,NYSSACEAE
Asterids,Lamiales,Oleaceae,OLEACEAE
Asterids,Icacinales,Oncothecaceae,ONCOTHECACEAE
Asterids,Lamiales,Orobanchaceae,
Asterids,Paracryphiales,Paracryphiaceae,PARACRYPHIACEAE
Asterids,Lamiales,Paulowniaceae,
Asterids,Lamiales,Pedaliaceae,PEDALIACEAE
Asterids,Apiales,Pennantiaceae,PENNANTIACEAE
Asterids,Asterales,Pentaphragmataceae,
Asterids,Ericales,Pentaphylacaceae,PENTAPHYLACACEAE
Asterids,Asterales,Phellinaceae,PHELLINACEAE
Asterids,Lamiales,Phrymaceae,
Asterids,Aquifoliales,Phyllonomaceae,
Asterids,Apiales,Pittosporaceae,PITTOSPORACEAE
Asterids,Lamiales,Plantaginaceae,PLANTAGINACEAE
Asterids,Asterales,Platyspermatiaceae,
Asterids,Lamiales,Plocospermataceae,PLOCOSPERMATACEAE
Asterids,Ericales,Polemoniaceae,POLEMONIACEAE
Asterids,Ericales,Primulaceae,PRIMULACEAE
Asterids,Ericales,Roridulaceae,
Asterids,Asterales,Rousseaceae,ROUSSEACEAE
Asterids,Gentianales,Rubiaceae,RUBIACEAE
Asterids,Ericales,Sapotaceae,SAPOTACEAE
Asterids,Ericales,Sarraceniaceae,SARRACENIACEAE
Asterids,Lamiales,Schlegeliaceae,SCHLEGELIACEAE
Asterids,Lamiales,Scrophulariaceae,SCROPHULARIACEAE
Asterids,Ericales,Sladeniaceae,
Asterids,Solanales,Solanaceae,SOLANACEAE
Asterids,Solanales,Sphenocleaceae,SPHENOCLEACEAE
Asterids,Aquifoliales,Stemonuraceae,STEMONURACEAE
Asterids,Lamiales,Stilbaceae,STILBACEAE
Asterids,Asterales,Stylidiaceae,
Asterids,Ericales,Styracaceae,STYRACACEAE
Asterids,Ericales,Symplocaceae,SYMPLOCACEAE
Asterids,Lamiales,Tetrachondraceae,
Asterids,Ericales,Tetrameristaceae,TETRAMERISTACEAE
Asterids,Ericales,Theaceae,THEACEAE
Asterids,Lamiales,Thomandersiaceae,
Asterids,Apiales,Torricelliaceae,TORRICELLIACEAE
Asterids,Vahliales,Vahliaceae,
Asterids,Lamiales,Verbenaceae,VERBENACEAE
Bryophytes,na,na,ACROBOLBACEAE
Bryophytes,na,na,AMBLYSTEGIACEAE
Bryophytes,na,na,AMBUCHANANIACEAE
Bryophytes,na,na,ANDREAEACEAE
Bryophytes,na,na,ARCHIDIACEAE
Bryophytes,na,na,BARTRAMIACEAE
Bryophytes,na,na,BRACHYTHECIACEAE
Bryophytes,na,na,BRUCHIACEAE
Bryophytes,na,na,BRYACEAE
Bryophytes,na,na,BRYOXIPHIACEAE
Bryophytes,na,na,CINCLIDOTACEAE
Bryophytes,na,na,CRYPHAEACEAE
Bryophytes,na,na,DALTONIACEAE
Bryophytes,na,na,DICRANACEAE
Bryophytes,na,na,DITRICHACEAE
Bryophytes,na,na,ECHINODIACEAE
Bryophytes,na,na,EHRETIACEAE
Bryophytes,na,na,FISSIDENTACEAE
Bryophytes,na,na,FONTINALACEAE
Bryophytes,na,na,FUNARIACEAE
Bryophytes,na,na,GRIMMIACEAE
Bryophytes,na,na,HYPNACEAE
Bryophytes,na,na,LEMBOPHYLLACEAE
Bryophytes,na,na,LEPTODONTACEAE
Bryophytes,na,na,LESKEACEAE
Bryophytes,na,na,LEUCOBRYACEAE
Bryophytes,na,na,LEUCODONTACEAE
Bryophytes,na,na,LEUCOMIACEAE
Bryophytes,na,na,MNIACEAE
Bryophytes,na,na,MYRINIACEAE
Bryophytes,na,na,MYURIACEAE
Bryophytes,na,na,NECKERACEAE
Bryophytes,na,na,ORTHODONTIACEAE
Bryophytes,na,na,ORTHOTRICHACEAE
Bryophytes,na,na,PILOTRICHACEAE
Bryophytes,na,na,POLYTRICHACEAE
Bryophytes,na,na,POTTIACEAE
Bryophytes,na,na,PTERIGYNANDRACEAE
Bryophytes,na,na,PTEROBRYACEAE
Bryophytes,na,na,PTYCHOMITRIACEAE
Bryophytes,na,na,PYLAISIADELPHACEAE
Bryophytes,na,na,RHABDOWEISIACEAE
Bryophytes,na,na,RHACHITHECIACEAE
Bryophytes,na,na,SELIGERIACEAE
Bryophytes,na,na,SEMATOPHYLLACEAE
Bryophytes,na,na,SPHAGNACEAE
Bryophytes,na,na,SPLACHNACEAE
Bryophytes,na,na,TAKAKIACEAE
Bryophytes,na,na,THUIDIACEAE
Eudicots,Caryophyllales,Achatocarpaceae,ACHATOCARPACEAE
Eudicots,Berberidopsidales,Aextoxicaceae,AEXTOXICACEAE
Eudicots,Caryophyllales,Aizoaceae,AIZOACEAE
Eudicots,Saxifragales,Altingiaceae,ALTINGIACEAE
Eudicots,Caryophyllales,Amaranthaceae,AMARANTHACEAE
Eudicots,Caryophyllales,Anacampserotaceae,ANACAMPSEROTACEAE
Eudicots,Caryophyllales,Ancistrocladaceae,ANCISTROCLADACEAE
Eudicots,Saxifragales,Aphanopetalaceae,
Eudicots,Caryophyllales,Asteropeiaceae,ASTEROPEIACEAE
Eudicots,Santalales,Balanophoraceae,BALANOPHORACEAE
Eudicots,Caryophyllales,Barbeuiaceae,BARBEUIACEAE
Eudicots,Caryophyllales,Basellaceae,
Eudicots,Ranunculales,Berberidaceae,BERBERIDACEAE
Eudicots,Berberidopsidales,Berberidopsidaceae,
Eudicots,Buxales,Buxaceae,BUXACEAE
Eudicots,Caryophyllales,Cactaceae,CACTACEAE
Eudicots,Caryophyllales,Caryophyllaceae,CARYOPHYLLACEAE
Eudicots,Saxifragales,Cercidiphyllaceae,CERCIDIPHYLLACEAE
Eudicots,Ranunculales,Circaeasteraceae,
Eudicots,Saxifragales,Crassulaceae,CRASSULACEAE
Eudicots,Saxifragales,Cynomoriaceae,
Eudicots,Saxifragales,Daphniphyllaceae,DAPHNIPHYLLACEAE
Eudicots,Caryophyllales,Didiereaceae,DIDIEREACEAE
Eudicots,Dilleniales,Dilleniaceae,DILLENIACEAE
Eudicots,Caryophyllales,Dioncophyllaceae,
Eudicots,Caryophyllales,Droseraceae,DROSERACEAE
Eudicots,Caryophyllales,Drosophyllaceae,
Eudicots,Ranunculales,Eupteleaceae,EUPTELEACEAE
Eudicots,Caryophyllales,Frankeniaceae,FRANKENIACEAE
Eudicots,Caryophyllales,Gisekiaceae,
Eudicots,Saxifragales,Grossulariaceae,GROSSULARIACEAE
Eudicots,Gunnerales,Gunneraceae,GUNNERACEAE
Eudicots,Caryophyllales,Halophytaceae,
Eudicots,Saxifragales,Haloragaceae,HALORAGACEAE
Eudicots,Saxifragales,Hamamelidaceae,HAMAMELIDACEAE
Eudicots,Saxifragales,Iteaceae,ITEACEAE
Eudicots,Caryophyllales,Kewaceae,KEWACEAE
Eudicots,Ranunculales,Lardizabalaceae,
Eudicots,Caryophyllales,Limeaceae,
Eudicots,Caryophyllales,Lophiocarpaceae,
Eudicots,Santalales,Loranthaceae,LORANTHACEAE
Eudicots,Caryophyllales,Macarthuriaceae,
Eudicots,Ranunculales,Menispermaceae,MENISPERMACEAE
Eudicots,Caryophyllales,Microteaceae,
Eudicots,Santalales,Misodendraceae,
Eudicots,Caryophyllales,Molluginaceae,MOLLUGINACEAE
Eudicots,Caryophyllales,Montiaceae,
Eudicots,Gunnerales,Myrothamnaceae,
Eudicots,na,na,CHENOPODIACEAE
Eudicots,na,na,ILLECEBRACEAE
Eudicots,na,na,OCTOKNEMACEAE
Eudicots,na,na,VISCACEAE
Eudicots,na,na,XIMENIACEAE
Eudicots,Proteales,Nelumbonaceae,NELUMBONACEAE
Eudicots,Caryophyllales,Nepenthaceae,NEPENTHACEAE
Eudicots,Caryophyllales,Nyctaginaceae,NYCTAGINACEAE
Eudicots,Santalales,Olacaceae,OLACACEAE
Eudicots,Santalales,Opiliaceae,OPILIACEAE
Eudicots,Saxifragales,Paeoniaceae,PAEONIACEAE
Eudicots,Ranunculales,Papaveraceae,PAPAVERACEAE
Eudicots,Saxifragales,Penthoraceae,PENTHORACEAE
Eudicots,Saxifragales,Peridiscaceae,PERIDISCACEAE
Eudicots,Caryophyllales,Petiveriaceae,
Eudicots,Caryophyllales,Physenaceae,PHYSENACEAE
Eudicots,Caryophyllales,Phytolaccaceae,PHYTOLACCACEAE
Eudicots,Proteales,Platanaceae,PLATANACEAE
Eudicots,Caryophyllales,Plumbaginaceae,PLUMBAGINACEAE
Eudicots,Caryophyllales,Polygonaceae,POLYGONACEAE
Eudicots,Caryophyllales,Portulacaceae,PORTULACACEAE
Eudicots,Proteales,Proteaceae,PROTEACEAE
Eudicots,Ranunculales,Ranunculaceae,RANUNCULACEAE
Eudicots,Caryophyllales,Rhabdodendraceae,
Eudicots,Caryophyllales,Rivinaceae,
Eudicots,Proteales,Sabiaceae,SABIACEAE
Eudicots,Santalales,Santalaceae,SANTALACEAE
Eudicots,Caryophyllales,Sarcobataceae,
Eudicots,Saxifragales,Saxifragaceae,SAXIFRAGACEAE
Eudicots,Santalales,Schoepfiaceae,SCHOEPFIACEAE
Eudicots,Caryophyllales,Simmondsiaceae,
Eudicots,Caryophyllales,Stegnospermataceae,
Eudicots,Caryophyllales,Talinaceae,TALINACEAE
Eudicots,Caryophyllales,Tamaricaceae,TAMARICACEAE
Eudicots,Saxifragales,Tetracarpaeaceae,
Eudicots,Trochodendrales,Trochodendraceae,
Eudicots,Vitales,Vitaceae,VITACEAE
Eudicots incl. Ceratophyllales,Ceratophyllales,Ceratophyllaceae,CERATOPHYLLACEAE
Ferns,na,na,ANEMIACEAE
Ferns,na,na,ASPLENIACEAE
Ferns,na,na,ATHYRIACEAE
Ferns,na,na,BLECHNACEAE
Ferns,na,na,CIBOTIACEAE
Ferns,na,na,CULCITACEAE
Ferns,na,na,CYATHEACEAE
Ferns,na,na,CYSTOPTERIDACEAE
Ferns,na,na,DENNSTAEDTIACEAE
Ferns,na,na,DICKSONIACEAE
Ferns,na,na,DIDYMOCHLAENACEAE
Ferns,na,na,DRYOPTERIDACEAE
Ferns,na,na,EQUISETACEAE
Ferns,na,na,GLEICHENIACEAE
Ferns,na,na,HYMENOPHYLLACEAE
Ferns,na,na,ISOETACEAE
Ferns,na,na,LINDSAEACEAE
Ferns,na,na,LYCOPODIACEAE
Ferns,na,na,LYGODIACEAE
Ferns,na,na,MARATTIACEAE
Ferns,na,na,MARSILEACEAE
Ferns,na,na,NEPHROLEPIDACEAE
Ferns,na,na,OLEANDRACEAE
Ferns,na,na,ONOCLEACEAE
Ferns,na,na,OPHIOGLOSSACEAE
Ferns,na,na,OSMUNDACEAE
Ferns,na,na,PLAGIOGYRIACEAE
Ferns,na,na,POLYPODIACEAE
Ferns,na,na,PTERIDACEAE
Ferns,na,na,SACCOLOMATACEAE
Ferns,na,na,SALVINIACEAE
Ferns,na,na,SCHIZAEACEAE
Ferns,na,na,SELAGINELLACEAE
Ferns,na,na,TECTARIACEAE
Ferns,na,na,THELYPTERIDACEAE
Ferns,na,na,WOODSIACEAE
Green algae,na,na,CHAETOPHORACEAE
Green algae,na,na,CHARACEAE
Green algae,na,na,CLADOPHORACEAE
Gymnosperms,na,na,ARAUCARIACEAE
Gymnosperms,na,na,CUPRESSACEAE
Gymnosperms,na,na,CYCADACEAE
Gymnosperms,na,na,EPHEDRACEAE
Gymnosperms,na,na,GINKGOACEAE
Gymnosperms,na,na,GNETACEAE
Gymnosperms,na,na,PINACEAE
Gymnosperms,na,na,PODOCARPACEAE
Gymnosperms,na,na,SCIADOPITYACEAE
Gymnosperms,na,na,STANGERIACEAE
Gymnosperms,na,na,TAXACEAE
Gymnosperms,na,na,ZAMIACEAE
Magnoliids,Magnoliales,Annonaceae,ANNONACEAE
Magnoliids,Piperales,Aristolochiaceae,ARISTOLOCHIACEAE
Magnoliids,Laurales,Atherospermataceae,ATHEROSPERMATACEAE
Magnoliids,Laurales,Calycanthaceae,CALYCANTHACEAE
Magnoliids,Canellales,Canellaceae,CANELLACEAE
Magnoliids,Magnoliales,Degeneriaceae,DEGENERIACEAE
Magnoliids,Magnoliales,Eupomatiaceae,EUPOMATIACEAE
Magnoliids,Laurales,Gomortegaceae,GOMORTEGACEAE
Magnoliids,Laurales,Hernandiaceae,HERNANDIACEAE
Magnoliids,Magnoliales,Himantandraceae,HIMANTANDRACEAE
Magnoliids,Laurales,Lauraceae,LAURACEAE
Magnoliids,Magnoliales,Magnoliaceae,MAGNOLIACEAE
Magnoliids,Laurales,Monimiaceae,MONIMIACEAE
Magnoliids,Magnoliales,Myristicaceae,MYRISTICACEAE
Magnoliids,Piperales,Piperaceae,PIPERACEAE
Magnoliids,Piperales,Saururaceae,SAURURACEAE
Magnoliids,Laurales,Siparunaceae,SIPARUNACEAE
Magnoliids,Canellales,Winteraceae,WINTERACEAE
Magnoliids incl. Chloranthales,Chloranthales,Chloranthaceae,CHLORANTHACEAE
Monocots,Acorales,Acoraceae,ACORACEAE
Monocots,Asparagales,Agapanthaceae,
Monocots,Alismatales,Alismataceae,ALISMATACEAE
Monocots,Liliales,Alstroemeriaceae,ALSTROEMERIACEAE
Monocots,Asparagales,Amaryllidaceae,AMARYLLIDACEAE
Monocots,Alismatales,Aponogetonaceae,APONOGETONACEAE
Monocots,Alismatales,Araceae,ARACEAE
Monocots,Arecales,Arecaceae,ARECACEAE
Monocots,Asparagales,Asparagaceae,ASPARAGACEAE
Monocots,Asparagales,Asphodelaceae,ASPHODELACEAE
Monocots,Asparagales,Asteliaceae,ASTELIACEAE
Monocots,Asparagales,Blandfordiaceae,
Monocots,Asparagales,Boryaceae,
Monocots,Poales,Bromeliaceae,BROMELIACEAE
Monocots,Dioscoreales,Burmanniaceae,BURMANNIACEAE
Monocots,Alismatales,Butomaceae,BUTOMACEAE
Monocots,Liliales,Campynemataceae,
Monocots,Zingiberales,Cannaceae,
Monocots,Liliales,Colchicaceae,COLCHICACEAE
Monocots,Commelinales,Commelinaceae,COMMELINACEAE
Monocots,Liliales,Corsiaceae,
Monocots,Zingiberales,Costaceae,COSTACEAE
Monocots,Pandanales,Cyclanthaceae,CYCLANTHACEAE
Monocots,Alismatales,Cymodoceaceae,CYMODOCEACEAE
Monocots,Poales,Cyperaceae,CYPERACEAE
Monocots,Arecales,Dasypogonaceae,DASYPOGONACEAE
Monocots,Dioscoreales,Dioscoreaceae,DIOSCOREACEAE
Monocots,Asparagales,Doryanthaceae,
Monocots,Poales,Ecdeiocoleaceae,
Monocots,Poales,Eriocaulaceae,ERIOCAULACEAE
Monocots,Poales,Flagellariaceae,
Monocots,Commelinales,Haemodoraceae,HAEMODORACEAE
Monocots,Commelinales,Hanguanaceae,HANGUANACEAE
Monocots,Zingiberales,Heliconiaceae,HELICONIACEAE
Monocots,Alismatales,Hydrocharitaceae,HYDROCHARITACEAE
Monocots,Asparagales,Hypoxidaceae,HYPOXIDACEAE
Monocots,Asparagales,Iridaceae,IRIDACEAE
Monocots,Asparagales,Ixioliriaceae,
Monocots,Poales,Joinvilleaceae,
Monocots,Poales,Juncaceae,JUNCACEAE
Monocots,Alismatales,Juncaginaceae,JUNCAGINACEAE
Monocots,Asparagales,Lanariaceae,
Monocots,Liliales,Liliaceae,LILIACEAE
Monocots,Zingiberales,Lowiaceae,LOWIACEAE
Monocots,Zingiberales,Marantaceae,MARANTACEAE
Monocots,Alismatales,Maundiaceae,
Monocots,Poales,Mayacaceae,
Monocots,Liliales,Melanthiaceae,MELANTHIACEAE
Monocots,Zingiberales,Musaceae,MUSACEAE
Monocots,na,na,TACCACEAE
Monocots,na,na,THISMIACEAE
Monocots,Dioscoreales,Nartheciaceae,NARTHECIACEAE
Monocots,Asparagales,Orchidaceae,ORCHIDACEAE
Monocots,Pandanales,Pandanaceae,PANDANACEAE
Monocots,Liliales,Petermanniaceae,
Monocots,Petrosaviales,Petrosaviaceae,
Monocots,Liliales,Philesiaceae,
Monocots,Commelinales,Philydraceae,
Monocots,Poales,Poaceae,POACEAE
Monocots,Commelinales,Pontederiaceae,PONTEDERIACEAE
Monocots,Alismatales,Posidoniaceae,POSIDONIACEAE
Monocots,Alismatales,Potamogetonaceae,POTAMOGETONACEAE
Monocots,Poales,Rapateaceae,
Monocots,Poales,Restionaceae,RESTIONACEAE
Monocots,Liliales,Rhipogonaceae,
Monocots,Alismatales,Ruppiaceae,RUPPIACEAE
Monocots,Alismatales,Scheuchzeriaceae,SCHEUCHZERIACEAE
Monocots,Liliales,Smilacaceae,
Monocots,Pandanales,Stemonaceae,
Monocots,Zingiberales,Strelitziaceae,
Monocots,Asparagales,Tecophilaeaceae,TECOPHILAEACEAE
Monocots,Poales,Thurniaceae,THURNIACEAE
Monocots,Alismatales,Tofieldiaceae,
Monocots,Pandanales,Triuridaceae,TRIURIDACEAE
Monocots,Poales,Typhaceae,TYPHACEAE
Monocots,Pandanales,Velloziaceae,VELLOZIACEAE
Monocots,Asparagales,Xeronemataceae,
Monocots,Poales,Xyridaceae,XYRIDACEAE
Monocots,Zingiberales,Zingiberaceae,ZINGIBERACEAE
Monocots,Alismatales,Zosteraceae,ZOSTERACEAE
Mosses,na,na,ANTHOCEROTACEAE
Mosses,na,na,CALYPOGEIACEAE
Mosses,na,na,CEPHALOZIACEAE
Mosses,na,na,CEPHALOZIELLACEAE
Mosses,na,na,CLEVEACEAE
Mosses,na,na,DENDROCEROTACEAE
Mosses,na,na,EXORMOTHECACEAE
Mosses,na,na,FOSSOMBRONIACEAE
Mosses,na,na,FRULLANIACEAE
Mosses,na,na,GYMNOMITRIACEAE
Mosses,na,na,HERBERTACEAE
Mosses,na,na,JAMESONIELLACEAE
Mosses,na,na,JUNGERMANNIACEAE
Mosses,na,na,LEJEUNEACEAE
Mosses,na,na,LEPIDOZIACEAE
Mosses,na,na,LOPHOCOLEACEAE
Mosses,na,na,METZGERIACEAE
Mosses,na,na,PERSONIELLACEAE
Mosses,na,na,PETALOPHYLLACEAE
Mosses,na,na,PHYCOLEPIDOZIACEAE
Mosses,na,na,PLAGIOCHILACEAE
Mosses,na,na,PLEUROZIACEAE
Mosses,na,na,PORELLACEAE
Mosses,na,na,RADULACEAE
Mosses,na,na,RICCIACEAE
Mosses,na,na,RIELLACEAE
Mosses,na,na,SCAPANIACEAE
Mosses,na,na,SCHISTOCHILACEAE
Mosses,na,na,SOLENOSTOMATACEAE
Mosses,na,na,SPHAEROCARPACEAE
Red algae,na,na,BONNEMAISONIACEAE
Red algae,na,na,CERAMIACEAE
Red algae,na,na,CORALLINACEAE
Red algae,na,na,DELESSERIACEAE
Red algae,na,na,GALAXAURACEAE
Red algae,na,na,GIGARTINACEAE
Red algae,na,na,GRACILARIACEAE
Red algae,na,na,HALYMENIACEAE
Red algae,na,na,HAPALIDIACEAE
Red algae,na,na,KALLYMENIACEAE
Red algae,na,na,PHYLLOPHORACEAE
Red algae,na,na,RHIZOPHYLLIDACEAE
Red algae,na,na,RHODOMELACEAE
Red algae,na,na,RHODYMENIACEAE
Red algae,na,na,SCHIZYMENIACEAE
Red algae,na,na,SEBDENIACEAE
Rosids,Sapindales,Aceraceae,
Rosids,Malpighiales,Achariaceae,ACHARIACEAE
Rosids,Brassicales,Akaniaceae,AKANIACEAE
Rosids,Myrtales,Alzateaceae,
Rosids,Sapindales,Anacardiaceae,ANACARDIACEAE
Rosids,Cucurbitales,Anisophylleaceae,ANISOPHYLLEACEAE
Rosids,Crossosomatales,Aphloiaceae,APHLOIACEAE
Rosids,Cucurbitales,Apodanthaceae,
Rosids,Malpighiales,Balanopaceae,BALANOPACEAE
Rosids,Rosales,Barbeyaceae,BARBEYACEAE
Rosids,Brassicales,Bataceae,
Rosids,Cucurbitales,Begoniaceae,BEGONIACEAE
Rosids,Fagales,Betulaceae,BETULACEAE
Rosids,Sapindales,Biebersteiniaceae,
Rosids,Malvales,Bixaceae,BIXACEAE
Rosids,Malpighiales,Bonnetiaceae,BONNETIACEAE
Rosids,Brassicales,Brassicaceae,BRASSICACEAE
Rosids,Oxalidales,Brunelliaceae,BRUNELLIACEAE
Rosids,Sapindales,Burseraceae,BURSERACEAE
Rosids,Malpighiales,Calophyllaceae,CALOPHYLLACEAE
Rosids,Rosales,Cannabaceae,CANNABACEAE
Rosids,Brassicales,Capparaceae,CAPPARACEAE
Rosids,Brassicales,Caricaceae,CARICACEAE
Rosids,Malpighiales,Caryocaraceae,CARYOCARACEAE
Rosids,Fagales,Casuarinaceae,CASUARINACEAE
Rosids,Celastrales,Celastraceae,CELASTRACEAE
Rosids,Malpighiales,Centroplacaceae,CENTROPLACACEAE
Rosids,Oxalidales,Cephalotaceae,CEPHALOTACEAE
Rosids,Malpighiales,Chrysobalanaceae,CHRYSOBALANACEAE
Rosids,Malvales,Cistaceae,CISTACEAE
Rosids,Brassicales,Cleomaceae,
Rosids,Malpighiales,Clusiaceae,CLUSIACEAE
Rosids,Myrtales,Combretaceae,COMBRETACEAE
Rosids,Oxalidales,Connaraceae,CONNARACEAE
Rosids,Cucurbitales,Coriariaceae,CORIARIACEAE
Rosids,Cucurbitales,Corynocarpaceae,
Rosids,Crossosomatales,Crossosomataceae,
Rosids,Myrtales,Crypteroniaceae,CRYPTERONIACEAE
Rosids,Malpighiales ,Ctenolophonaceae,CTENOLOPHONACEAE
Rosids,Cucurbitales,Cucurbitaceae,CUCURBITACEAE
Rosids,Oxalidales,Cunoniaceae,CUNONIACEAE
Rosids,Malvales,Cytinaceae,
Rosids,Cucurbitales,Datiscaceae,
Rosids,Malpighiales ,Dichapetalaceae,DICHAPETALACEAE
Rosids,Huerteales,Dipentodontaceae,DIPENTODONTACEAE
Rosids,Malvales,Dipterocarpaceae,DIPTEROCARPACEAE
Rosids,Rosales,Dirachmaceae,DIRACHMACEAE
Rosids,Rosales,Elaeagnaceae,ELAEAGNACEAE
Rosids,Oxalidales,Elaeocarpaceae,ELAEOCARPACEAE
Rosids,Malpighiales ,Elatinaceae,ELATINACEAE
Rosids,Brassicales,Emblingiaceae,
Rosids,Malpighiales,Erythroxylaceae,ERYTHROXYLACEAE
Rosids,Malpighiales ,Euphorbiaceae,EUPHORBIACEAE
Rosids,Malpighiales,Euphroniaceae,EUPHRONIACEAE
Rosids,Fabales,Fabaceae,FABACEAE
Rosids,Fagales,Fagaceae,FAGACEAE
Rosids,Geraniales,Francoaceae,FRANCOACEAE
Rosids,Crossosomatales,Geissolomataceae,
Rosids,Geraniales,Geraniaceae,GERANIACEAE
Rosids,Huerteales,Gerrardinaceae,GERRARDINACEAE
Rosids,Malpighiales ,Goupiaceae,GOUPIACEAE
Rosids,Crossosomatales,Guamatelaceae,
Rosids,Brassicales,Gyrostemonaceae,GYROSTEMONACEAE
Rosids,Sapindales,Hippocastanaceae,
Rosids,Oxalidales,Huaceae,HUACEAE
Rosids,Malpighiales,Humiriaceae,HUMIRIACEAE
Rosids,Malpighiales,Hypericaceae,HYPERICACEAE
Rosids,Malpighiales,Irvingiaceae,IRVINGIACEAE
Rosids,Malpighiales,Ixonanthaceae,IXONANTHACEAE
Rosids,Fagales,Juglandaceae,JUGLANDACEAE
Rosids,Sapindales,Kirkiaceae,KIRKIACEAE
Rosids,Brassicales,Koeberliniaceae,
Rosids,Zygophyllales,Krameriaceae,
Rosids,Malpighiales,Lacistemataceae,LACISTEMATACEAE
Rosids,Celastrales,Lepidobotryaceae,LEPIDOBOTRYACEAE
Rosids,Brassicales,Limnanthaceae,
Rosids,Malpighiales,Linaceae,LINACEAE
Rosids,Malpighiales,Lophopyxidaceae,
